id,sequence,task,choices,response,response_type,domain,task_original,choices_original
SJPYZH,14,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
SJPYZH,15,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
NHSPFT,0,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
NHSPFT,1,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
NHSPFT,0,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
NHSPFT,1,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
NHSPFT,2,possible;and;A;B,possible;or;A;B,True,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
NHSPFT,3,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
NHSPFT,4,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
NHSPFT,5,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
NHSPFT,6,xor;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
NHSPFT,7,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
NHSPFT,8,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
NHSPFT,9,and;possible;A;possible;B,possible;xor;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
NHSPFT,10,xor;possible;A;possible;B,or;possible;A;possible;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
NHSPFT,11,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
NHSPFT,12,possible;xor;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
NHSPFT,13,xor;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
NHSPFT,14,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
NHSPFT,15,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
YSTKKA,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
YSTKKA,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
RTNNBA,0,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
RTNNBA,1,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
MFSDJI,0,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
MFSDJI,1,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
MFOMTL,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
JVYHPY,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
MFOMTL,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
MFSDJI,0,xor;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
MFSDJI,1,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
JVYHPY,1,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
MFSDJI,2,xor;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFSDJI,3,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
MFSDJI,4,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
MFSDJI,5,possible;xor;A;B,xor;possible;A;possible;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
MFSDJI,6,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFSDJI,7,and;possible;A;possible;B,possible;xor;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
MFOMTL,0,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
MFSDJI,8,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
MFSDJI,9,xor;possible;A;possible;B,or;possible;A;possible;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
MFSDJI,10,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFSDJI,11,xor;possible;A;possible;B,possible;xor;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
MFSDJI,12,possible;xor;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
MFIMPI,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
MFSDJI,13,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
MFSDJI,14,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
MFOMTL,1,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
MFSDJI,15,possible;and;A;B,possible;or;A;B,True,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
JVYHPY,0,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
MFOMTL,2,possible;xor;A;B,and;possible;A;possible;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
JVYHPY,1,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
MFOMTL,3,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
MFIMPI,0,and;possible;A;possible;B,possible;xor;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
JVYHPY,2,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
MFOMTL,4,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
MFOMTL,5,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
JVYHPY,3,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
MFOMTL,6,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
MFIMPI,2,possible;xor;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
JVYHPY,4,xor;possible;A;possible;B,or;possible;A;possible;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
MFOMTL,7,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,3,xor;possible;A;possible;B,possible;xor;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
MFIMPI,4,xor;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFOMTL,8,possible;xor;A;B,possible;and;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
JVYHPY,5,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,5,possible;and;A;B,possible;or;A;B,True,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
MFOMTL,9,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
MFIMPI,6,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
JVYHPY,6,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
MFOMTL,10,and;possible;A;possible;B,possible;xor;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
MFIMPI,7,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
JVYHPY,7,xor;possible;A;possible;B,possible;or;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFOMTL,11,possible;and;A;B,possible;or;A;B,False,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,8,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
JVYHPY,8,and;possible;A;possible;B,possible;xor;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
MFOMTL,12,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
MFIMPI,9,possible;xor;A;B,possible;and;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
MFOMTL,13,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
JVYHPY,9,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
MFIMPI,10,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
MFIMPI,11,xor;possible;A;possible;B,or;possible;A;possible;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
MFOMTL,14,xor;possible;A;possible;B,or;possible;A;possible;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
MFIMPI,12,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
MFIMPI,13,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,14,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
MFOMTL,15,xor;possible;A;possible;B,possible;or;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
MFIMPI,15,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
JVYHPY,10,possible;xor;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
JVYHPY,11,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
JVYHPY,12,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
JVYHPY,13,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
JVYHPY,14,possible;and;A;B,possible;or;A;B,True,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
JVYHPY,15,possible;xor;A;B,possible;and;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
QERROB,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
QERROB,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
KYSTJQ,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
QERROB,0,xor;possible;A;possible;B,possible;or;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
QERROB,1,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
QERROB,2,possible;and;A;B,possible;or;A;B,True,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
QERROB,3,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
KYSTJQ,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
QERROB,4,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
QERROB,5,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
QERROB,6,and;possible;A;possible;B,possible;xor;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
QERROB,7,possible;xor;A;B,possible;and;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
QERROB,8,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
QERROB,9,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
QERROB,10,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
ZZIKDR,0,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
QERROB,11,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
QERROB,12,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
QERROB,13,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
ZZIKDR,1,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
QERROB,14,xor;possible;A;possible;B,or;possible;A;possible;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
QERROB,15,possible;xor;A;B,and;possible;A;possible;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
KYSTJQ,0,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
KYSTJQ,1,possible;and;A;B,possible;or;A;B,False,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
ZZIKDR,0,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
KYSTJQ,2,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
ZZIKDR,1,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, BUT NOT BOTH"
ZZIKDR,2,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
KYSTJQ,3,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} AND {B},It is possible that: {A} AND it is possible that {B}
ZZIKDR,3,possible;xor;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
KYSTJQ,4,and;possible;A;possible;B,possible;xor;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
ZZIKDR,4,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}
ZFUWUL,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
KYSTJQ,5,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
ZFUWUL,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
ZZIKDR,5,xor;possible;A;possible;B,possible;or;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
KYSTJQ,6,xor;possible;A;possible;B,possible;or;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
ZZIKDR,6,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH","It is possible that {A} OR  it is possible that {B}, OR BOTH"
KYSTJQ,7,possible;xor;A;B,possible;and;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
ZZIKDR,7,xor;possible;A;possible;B,or;possible;A;possible;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
KYSTJQ,8,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
ZZIKDR,8,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
KYSTJQ,9,possible;xor;A;B,and;possible;A;possible;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH",It is possible that: {A} AND it is possible that {B}
ZZIKDR,9,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH","It is possible that: {A} OR {B}, OR BOTH"
ZFUWUL,0,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
ZZIKDR,10,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
KYSTJQ,10,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, BUT NOT BOTH"
ZFUWUL,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
KYSTJQ,11,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} AND {B}
ZFUWUL,2,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
ZZIKDR,11,and;possible;A;possible;B,possible;xor;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},"It is possible that: {A} OR {B}, BUT NOT BOTH"
KYSTJQ,12,xor;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH",It is possible that: {A} AND {B}
ZZIKDR,12,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} OR {B}, BUT NOT BOTH","It is possible that: {A} OR {B}, OR BOTH"
KYSTJQ,13,possible;or;A;B,and;possible;A;possible;B,True,verify,modal,"It is possible that: {A} OR {B}, OR BOTH",It is possible that {A} AND it is possible that {B}
ZFUWUL,3,possible;and;A;B,possible;or;A;B,True,verify,modal,It is possible that: {A} AND {B},"It is possible that: {A} OR {B}, OR BOTH"
KYSTJQ,14,xor;possible;A;possible;B,or;possible;A;possible;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, BUT NOT BOTH","It is possible that {A} OR it is possible that {B}, OR BOTH"
