task,choices,Task-ID
Left;lemon;peach/Left;peach;apple/Left;peach;cherry/Left;cherry;mango/,Left;lemon;peach/Left;peach;apple/Left;apple;cherry/Left;cherry;mango,1
Left;orange;kiwi/Left;kiwi;cherry/Left;kiwi;fig/Left;fig;lime/,Left;orange;kiwi/Left;kiwi;cherry/Left;cherry;fig/Left;fig;lime,1
Left;peach;mango/Left;mango;kiwi/Left;mango;lemon/Left;lemon;apple/,Left;peach;mango/Left;mango;kiwi/Left;kiwi;lemon/Left;lemon;apple,1
Left;plum;lemon/Left;lemon;kiwi/Left;lemon;cherry/Left;cherry;mango/,Left;plum;lemon/Left;lemon;kiwi/Left;kiwi;cherry/Left;cherry;mango,1
Left;kiwi;cherry/Left;cherry;mango/Left;cherry;peach/Left;peach;orange/,Left;kiwi;cherry/Left;cherry;mango/Left;mango;peach/Left;peach;orange,1
Left;apricot;orange/Left;orange;mango/Left;orange;lime/Left;lime;kiwi/,Left;apricot;orange/Left;orange;mango/Left;mango;lime/Left;lime;kiwi,1
Left;lemon;plum/Left;plum;mango/Left;plum;apricot/Left;apricot;kiwi/,Left;lemon;plum/Left;plum;mango/Left;mango;apricot/Left;apricot;kiwi,1
Left;pear;lemon/Left;lemon;cherry/Left;lemon;kiwi/Left;kiwi;fig/,Left;pear;lemon/Left;lemon;cherry/Left;cherry;kiwi/Left;kiwi;fig,1
Left;cherry;plum/Left;plum;apple/Left;plum;fig/Left;fig;lemon/,Left;cherry;plum/Left;plum;apple/Left;apple;fig/Left;fig;lemon,1
Left;orange;apricot/Left;apricot;lemon/Left;apricot;pear/Left;pear;fig/,Left;orange;apricot/Left;apricot;lemon/Left;lemon;pear/Left;pear;fig,1
Left;mango;plum/Left;plum;lime/Left;plum;apricot/Left;apricot;kiwi/,Left;mango;plum/Left;plum;lime/Left;lime;apricot/Left;apricot;kiwi,1
Left;lemon;apricot/Left;apricot;fig/Left;apricot;mango/Left;mango;peach/,Left;lemon;apricot/Left;apricot;fig/Left;fig;mango/Left;mango;peach,1
Left;lemon;orange/Left;orange;kiwi/Left;orange;apricot/Left;apricot;mango/,Left;lemon;orange/Left;orange;kiwi/Left;kiwi;apricot/Left;apricot;mango,1
Left;peach;mango/Left;mango;fig/Left;mango;apple/Left;apple;cherry/,Left;peach;mango/Left;mango;fig/Left;fig;apple/Left;apple;cherry,1
Left;mango;peach/Left;peach;kiwi/Left;peach;cherry/Left;cherry;lime/,Left;mango;peach/Left;peach;kiwi/Left;kiwi;cherry/Left;cherry;lime,1
Left;cherry;plum/Left;plum;orange/Left;plum;lemon/Left;lemon;apricot/,Left;cherry;plum/Left;plum;orange/Left;orange;lemon/Left;lemon;apricot,1
Left;lime;apricot/Left;apricot;peach/Left;apricot;fig/Left;fig;kiwi/,Left;lime;apricot/Left;apricot;peach/Left;peach;fig/Left;fig;kiwi,1
Left;apple;lime/Left;lime;kiwi/Left;lime;peach/Left;peach;mango/,Left;apple;lime/Left;lime;kiwi/Left;kiwi;peach/Left;peach;mango,1
Left;fig;mango/Left;mango;lime/Left;mango;pear/Left;pear;apricot/,Left;fig;mango/Left;mango;lime/Left;lime;pear/Left;pear;apricot,1
Left;orange;apple/Left;apple;cherry/Left;apple;lime/Left;lime;plum/,Left;orange;apple/Left;apple;cherry/Left;cherry;lime/Left;lime;plum,1
Left;kiwi;orange/Left;orange;lemon/Left;orange;apple/Left;apple;pear/,Left;kiwi;orange/Left;orange;lemon/Left;lemon;apple/Left;apple;pear,1
Left;peach;orange/Left;orange;mango/Left;orange;fig/Left;fig;apple/,Left;peach;orange/Left;orange;fig/Left;fig;apple/Left;apple;mango,2
Left;cherry;kiwi/Left;kiwi;mango/Left;kiwi;lemon/Left;lemon;pear/,Left;cherry;kiwi/Left;kiwi;lemon/Left;lemon;pear/Left;pear;mango,2
Left;apricot;kiwi/Left;kiwi;orange/Left;kiwi;plum/Left;plum;mango/,Left;apricot;kiwi/Left;kiwi;plum/Left;plum;mango/Left;mango;orange,2
Left;plum;cherry/Left;cherry;orange/Left;cherry;lime/Left;lime;apple/,Left;plum;cherry/Left;cherry;lime/Left;lime;apple/Left;apple;orange,2
Left;cherry;peach/Left;peach;lemon/Left;peach;fig/Left;fig;apple/,Left;cherry;peach/Left;peach;fig/Left;fig;apple/Left;apple;lemon,2
Left;cherry;kiwi/Left;kiwi;orange/Left;kiwi;fig/Left;fig;pear/,Left;cherry;kiwi/Left;kiwi;fig/Left;fig;pear/Left;pear;orange,2
Left;cherry;mango/Left;mango;plum/Left;mango;lemon/Left;lemon;orange/,Left;cherry;mango/Left;mango;lemon/Left;lemon;orange/Left;orange;plum,2
Left;mango;cherry/Left;cherry;kiwi/Left;cherry;peach/Left;peach;fig/,Left;mango;cherry/Left;cherry;peach/Left;peach;fig/Left;fig;kiwi,2
Left;plum;kiwi/Left;kiwi;apple/Left;kiwi;orange/Left;orange;fig/,Left;plum;kiwi/Left;kiwi;orange/Left;orange;fig/Left;fig;apple,2
Left;lemon;orange/Left;orange;pear/Left;orange;cherry/Left;cherry;kiwi/,Left;lemon;orange/Left;orange;cherry/Left;cherry;kiwi/Left;kiwi;pear,2
Left;kiwi;orange/Left;orange;mango/Left;orange;apricot/Left;apricot;plum/,Left;kiwi;orange/Left;orange;apricot/Left;apricot;plum/Left;plum;mango,2
Left;lemon;cherry/Left;cherry;kiwi/Left;cherry;orange/Left;orange;peach/,Left;lemon;cherry/Left;cherry;orange/Left;orange;peach/Left;peach;kiwi,2
Left;apple;orange/Left;orange;fig/Left;orange;lime/Left;lime;plum/,Left;apple;orange/Left;orange;lime/Left;lime;plum/Left;plum;fig,2
Left;mango;pear/Left;pear;lemon/Left;pear;apricot/Left;apricot;cherry/,Left;mango;pear/Left;pear;apricot/Left;apricot;cherry/Left;cherry;lemon,2
Left;lemon;apricot/Left;apricot;pear/Left;apricot;fig/Left;fig;mango/,Left;lemon;apricot/Left;apricot;fig/Left;fig;mango/Left;mango;pear,2
Left;orange;plum/Left;plum;apple/Left;plum;lemon/Left;lemon;kiwi/,Left;orange;plum/Left;plum;lemon/Left;lemon;kiwi/Left;kiwi;apple,2
Left;pear;cherry/Left;cherry;kiwi/Left;cherry;apricot/Left;apricot;mango/,Left;pear;cherry/Left;cherry;apricot/Left;apricot;mango/Left;mango;kiwi,2
Left;orange;apricot/Left;apricot;pear/Left;apricot;fig/Left;fig;cherry/,Left;orange;apricot/Left;apricot;fig/Left;fig;cherry/Left;cherry;pear,2
Left;plum;lemon/Left;lemon;apricot/Left;lemon;kiwi/Left;kiwi;fig/,Left;plum;lemon/Left;lemon;kiwi/Left;kiwi;fig/Left;fig;apricot,2
Left;plum;cherry/Left;cherry;kiwi/Left;cherry;lime/Left;lime;apple/,Left;plum;cherry/Left;cherry;lime/Left;lime;apple/Left;apple;kiwi,2
Left;apricot;cherry/Left;cherry;plum/Left;cherry;lemon/Left;lemon;orange/,Left;apricot;cherry/Left;cherry;lemon/Left;lemon;orange/Left;orange;plum,2
Left;kiwi;plum/Left;plum;orange/Left;plum;apple/Left;apple;fig/,Left;kiwi;plum/Left;plum;apple/Left;apple;fig/Left;fig;orange,2
Left;kiwi;apple/Left;apple;mango/Left;apple;fig/Left;fig;lemon/,Left;kiwi;apple/Left;apple;fig/Left;fig;lemon/Left;lemon;mango,2
Left;pear;mango/Left;mango;kiwi/Left;mango;orange/Left;orange;lime/,Left;pear;mango/Left;mango;orange/Left;orange;lime/Left;lime;kiwi,2
Left;orange;lemon/Left;lemon;apricot/Left;lemon;plum/Left;plum;fig/,Left;orange;lemon/Left;lemon;plum/Left;plum;fig/Left;fig;apricot,2
Left;plum;apricot/Left;apricot;kiwi/Left;apricot;lemon/Left;lemon;mango/,Left;plum;apricot/Left;apricot;lemon/Left;lemon;mango/Left;mango;kiwi,2
Left;cherry;orange/Left;orange;lemon/Left;orange;pear/Left;pear;apricot/,Left;cherry;orange/Left;orange;pear/Left;pear;apricot/Left;apricot;lemon,2
Left;fig;pear/Left;pear;lime/Left;pear;cherry/Left;cherry;apricot/,Left;fig;pear/Left;pear;cherry/Left;cherry;apricot/Left;apricot;lime,2
Left;lime;kiwi/Left;kiwi;fig/Left;kiwi;orange/Left;orange;plum/,Left;lime;kiwi/Left;kiwi;orange/Left;orange;plum/Left;plum;fig,2
Left;cherry;apple/Left;apple;mango/Left;apple;fig/Left;fig;lemon/,Left;cherry;apple/Left;apple;fig/Left;fig;lemon/Left;lemon;mango,2
Left;orange;lemon/Left;lemon;cherry/Left;lemon;plum/Left;plum;mango/,Left;orange;lemon/Left;lemon;plum/Left;plum;mango/Left;mango;cherry,2
Left;lemon;fig/Left;fig;apricot/Left;fig;mango/Left;mango;kiwi/,Left;lemon;fig/Left;fig;mango/Left;mango;kiwi/Left;kiwi;apricot,2
Left;lime;cherry/Left;cherry;orange/Left;cherry;mango/Left;mango;fig/,Left;lime;cherry/Left;cherry;mango/Left;mango;fig/Left;fig;orange,2
Left;apple;mango/Left;mango;peach/Left;mango;orange/Left;orange;kiwi/,Left;apple;mango/Left;mango;orange/Left;orange;kiwi/Left;kiwi;peach,2
Left;kiwi;peach/Left;peach;lime/Left;peach;orange/Left;orange;apricot/,Left;kiwi;peach/Left;peach;orange/Left;orange;lime/Left;lime;apricot,3
Left;plum;cherry/Left;cherry;lime/Left;cherry;orange/Left;orange;kiwi/,Left;plum;cherry/Left;cherry;orange/Left;orange;lime/Left;lime;kiwi,3
Left;cherry;fig/Left;fig;apple/Left;fig;orange/Left;orange;pear/,Left;cherry;fig/Left;fig;orange/Left;orange;apple/Left;apple;pear,3
Left;apple;fig/Left;fig;kiwi/Left;fig;orange/Left;orange;cherry/,Left;apple;fig/Left;fig;orange/Left;orange;kiwi/Left;kiwi;cherry,3
Left;fig;apple/Left;apple;lime/Left;apple;orange/Left;orange;mango/,Left;fig;apple/Left;apple;orange/Left;orange;lime/Left;lime;mango,3
Left;peach;fig/Left;fig;mango/Left;fig;lime/Left;lime;apple/,Left;peach;fig/Left;fig;lime/Left;lime;mango/Left;mango;apple,3
Left;peach;cherry/Left;cherry;apricot/Left;cherry;kiwi/Left;kiwi;lime/,Left;peach;cherry/Left;cherry;kiwi/Left;kiwi;apricot/Left;apricot;lime,3
Left;cherry;kiwi/Left;kiwi;apple/Left;kiwi;fig/Left;fig;orange/,Left;cherry;kiwi/Left;kiwi;fig/Left;fig;apple/Left;apple;orange,3
Left;lime;orange/Left;orange;peach/Left;orange;apple/Left;apple;cherry/,Left;lime;orange/Left;orange;apple/Left;apple;peach/Left;peach;cherry,3
Left;mango;fig/Left;fig;lemon/Left;fig;apricot/Left;apricot;kiwi/,Left;mango;fig/Left;fig;apricot/Left;apricot;lemon/Left;lemon;kiwi,3
Left;mango;fig/Left;fig;orange/Left;fig;pear/Left;pear;apple/,Left;mango;fig/Left;fig;pear/Left;pear;orange/Left;orange;apple,3
Left;apple;plum/Left;plum;lime/Left;plum;orange/Left;orange;fig/,Left;apple;plum/Left;plum;orange/Left;orange;lime/Left;lime;fig,3
Left;lime;peach/Left;peach;apple/Left;peach;fig/Left;fig;orange/,Left;lime;peach/Left;peach;fig/Left;fig;apple/Left;apple;orange,3
Left;lime;plum/Left;plum;kiwi/Left;plum;fig/Left;fig;mango/,Left;lime;plum/Left;plum;fig/Left;fig;kiwi/Left;kiwi;mango,3
Left;apple;pear/Left;pear;kiwi/Left;pear;lime/Left;lime;orange/,Left;apple;pear/Left;pear;lime/Left;lime;kiwi/Left;kiwi;orange,3
Left;peach;mango/Left;mango;lime/Left;mango;kiwi/Left;kiwi;orange/,Left;peach;mango/Left;mango;kiwi/Left;kiwi;lime/Left;lime;orange,3
Left;plum;lime/Left;lime;cherry/Left;lime;kiwi/Left;kiwi;apricot/,Left;plum;lime/Left;lime;kiwi/Left;kiwi;cherry/Left;cherry;apricot,3
Left;peach;lime/Left;lime;apricot/Left;lime;orange/Left;orange;cherry/,Left;peach;lime/Left;lime;orange/Left;orange;apricot/Left;apricot;cherry,3
Left;plum;mango/Left;mango;orange/Left;mango;kiwi/Left;kiwi;lemon/,Left;plum;mango/Left;mango;kiwi/Left;kiwi;orange/Left;orange;lemon,3
Left;pear;lemon/Left;lemon;orange/Left;lemon;apricot/Left;apricot;mango/,Left;pear;lemon/Left;lemon;apricot/Left;apricot;orange/Left;orange;mango,3
Left;lemon;pear/Left;pear;kiwi/Left;pear;mango/Left;mango;orange/,Left;lemon;pear/Left;pear;mango/Left;mango;kiwi/Left;kiwi;orange,3
Left;plum;apple/Left;apple;lime/Left;apple;orange/Left;orange;fig/,Left;plum;apple/Left;apple;orange/Left;orange;lime/Left;lime;fig,3
Left;fig;peach/Left;peach;mango/Left;peach;kiwi/Left;kiwi;lime/,Left;fig;peach/Left;peach;kiwi/Left;kiwi;mango/Left;mango;lime,3
Left;pear;fig/Left;fig;apple/Left;fig;kiwi/Left;kiwi;mango/,Left;pear;fig/Left;fig;kiwi/Left;kiwi;apple/Left;apple;mango,3
Left;plum;fig/Left;fig;lemon/Left;fig;mango/Left;mango;apricot/,Left;plum;fig/Left;fig;mango/Left;mango;lemon/Left;lemon;apricot,3
Left;mango;kiwi/Left;kiwi;lemon/Left;kiwi;fig/Left;fig;peach/,Left;mango;kiwi/Left;kiwi;fig/Left;fig;lemon/Left;lemon;peach,3
Left;peach;mango/Left;mango;apple/Left;mango;kiwi/Left;kiwi;cherry/,Left;peach;mango/Left;mango;kiwi/Left;kiwi;apple/Left;apple;cherry,3
Left;lime;orange/Left;orange;peach/Left;orange;fig/Left;fig;cherry/,Left;lime;orange/Left;orange;fig/Left;fig;peach/Left;peach;cherry,3
Left;plum;kiwi/Left;kiwi;apricot/Left;kiwi;fig/Left;fig;lime/,Left;plum;kiwi/Left;kiwi;fig/Left;fig;apricot/Left;apricot;lime,3
Left;pear;mango/Left;mango;fig/Left;mango;kiwi/Left;kiwi;cherry/,Left;pear;mango/Left;mango;kiwi/Left;kiwi;fig/Left;fig;cherry,3
Left;kiwi;orange/Left;orange;peach/Left;orange;fig/Left;fig;apple/,Left;kiwi;orange/Left;orange;fig/Left;fig;peach/Left;peach;apple,3
Left;pear;apricot/Left;apricot;fig/Left;apricot;kiwi/Left;kiwi;orange/,Left;pear;apricot/Left;apricot;kiwi/Left;kiwi;fig/Left;fig;orange,3
Left;orange;mango/Left;mango;pear/Left;mango;apple/Left;apple;cherry/,Left;orange;mango/Left;mango;apple/Left;apple;pear/Left;pear;cherry,3
Left;cherry;orange/Left;orange;mango/Left;orange;pear/Left;pear;lime/,Left;cherry;orange/Left;orange;pear/Left;pear;mango/Left;mango;lime,3
Left;apricot;mango/Left;mango;cherry/Left;mango;plum/Left;plum;orange/,Left;orange;mango/Left;mango;cherry/Left;cherry;plum/Left;plum;apricot,4
Left;apricot;mango/Left;mango;fig/Left;mango;lemon/Left;lemon;cherry/,Left;cherry;mango/Left;mango;fig/Left;fig;lemon/Left;lemon;apricot,4
Left;fig;plum/Left;plum;orange/Left;plum;apricot/Left;apricot;kiwi/,Left;kiwi;plum/Left;plum;orange/Left;orange;apricot/Left;apricot;fig,4
Left;fig;apple/Left;apple;lemon/Left;apple;plum/Left;plum;orange/,Left;orange;apple/Left;apple;lemon/Left;lemon;plum/Left;plum;fig,4
Left;apple;fig/Left;fig;mango/Left;fig;pear/Left;pear;cherry/,Left;cherry;fig/Left;fig;mango/Left;mango;pear/Left;pear;apple,4
Left;mango;plum/Left;plum;kiwi/Left;plum;apple/Left;apple;lime/,Left;lime;plum/Left;plum;kiwi/Left;kiwi;apple/Left;apple;mango,4
Left;lemon;peach/Left;peach;kiwi/Left;peach;orange/Left;orange;apple/,Left;apple;peach/Left;peach;kiwi/Left;kiwi;orange/Left;orange;lemon,4
Left;lime;apple/Left;apple;cherry/Left;apple;fig/Left;fig;kiwi/,Left;kiwi;apple/Left;apple;cherry/Left;cherry;fig/Left;fig;lime,4
Left;apple;mango/Left;mango;pear/Left;mango;lemon/Left;lemon;kiwi/,Left;kiwi;mango/Left;mango;pear/Left;pear;lemon/Left;lemon;apple,4
Left;fig;lime/Left;lime;kiwi/Left;lime;mango/Left;mango;apricot/,Left;apricot;lime/Left;lime;kiwi/Left;kiwi;mango/Left;mango;fig,4
Left;fig;lemon/Left;lemon;orange/Left;lemon;plum/Left;plum;apricot/,Left;apricot;lemon/Left;lemon;orange/Left;orange;plum/Left;plum;fig,4
Left;orange;fig/Left;fig;pear/Left;fig;lime/Left;lime;mango/,Left;mango;fig/Left;fig;pear/Left;pear;lime/Left;lime;orange,4
Left;plum;orange/Left;orange;kiwi/Left;orange;apricot/Left;apricot;lemon/,Left;lemon;orange/Left;orange;kiwi/Left;kiwi;apricot/Left;apricot;plum,4
Left;fig;mango/Left;mango;orange/Left;mango;pear/Left;pear;apricot/,Left;apricot;mango/Left;mango;orange/Left;orange;pear/Left;pear;fig,4
Left;fig;orange/Left;orange;kiwi/Left;orange;plum/Left;plum;lime/,Left;lime;orange/Left;orange;kiwi/Left;kiwi;plum/Left;plum;fig,4
Left;fig;apple/Left;apple;lemon/Left;apple;mango/Left;mango;cherry/,Left;cherry;apple/Left;apple;lemon/Left;lemon;mango/Left;mango;fig,4
Left;peach;mango/Left;mango;lemon/Left;mango;cherry/Left;cherry;orange/,Left;orange;mango/Left;mango;lemon/Left;lemon;cherry/Left;cherry;peach,4
Left;peach;orange/Left;orange;mango/Left;orange;fig/Left;fig;apricot/,Left;apricot;orange/Left;orange;mango/Left;mango;fig/Left;fig;peach,4
Left;lime;mango/Left;mango;peach/Left;mango;cherry/Left;cherry;kiwi/,Left;kiwi;mango/Left;mango;peach/Left;peach;cherry/Left;cherry;lime,4
Left;apple;pear/Left;pear;orange/Left;pear;lime/Left;lime;fig/,Left;fig;pear/Left;pear;orange/Left;orange;lime/Left;lime;apple,4
Left;kiwi;apple/Left;apple;pear/Left;apple;lemon/Left;lemon;cherry/,Left;cherry;apple/Left;apple;pear/Left;pear;lemon/Left;lemon;kiwi,4
Left;apple;lemon/Left;lemon;cherry/Left;lemon;peach/Left;peach;mango/,Left;mango;lemon/Left;lemon;cherry/Left;cherry;peach/Left;peach;apple,4
Left;plum;apple/Left;apple;orange/Left;apple;mango/Left;mango;cherry/,Left;cherry;apple/Left;apple;orange/Left;orange;mango/Left;mango;plum,4
Left;mango;apple/Left;apple;lime/Left;apple;plum/Left;plum;kiwi/,Left;kiwi;apple/Left;apple;lime/Left;lime;plum/Left;plum;mango,4
Left;lime;fig/Left;fig;orange/Left;fig;kiwi/Left;kiwi;peach/,Left;peach;fig/Left;fig;orange/Left;orange;kiwi/Left;kiwi;lime,4
Left;lime;mango/Left;mango;pear/Left;mango;orange/Left;orange;apple/,Left;apple;mango/Left;mango;pear/Left;pear;orange/Left;orange;lime,4
Left;fig;mango/Left;mango;lime/Left;mango;cherry/Left;cherry;kiwi/,Left;kiwi;mango/Left;mango;lime/Left;lime;cherry/Left;cherry;fig,4
Left;cherry;peach/Left;peach;lime/Left;peach;orange/Left;orange;apricot/,Left;apricot;peach/Left;peach;lime/Left;lime;orange/Left;orange;cherry,4
Left;pear;orange/Left;orange;lime/Left;orange;apple/Left;apple;kiwi/,Left;kiwi;orange/Left;orange;lime/Left;lime;apple/Left;apple;pear,4
Left;apple;kiwi/Left;kiwi;lemon/Left;kiwi;plum/Left;plum;mango/,Left;mango;kiwi/Left;kiwi;lemon/Left;lemon;plum/Left;plum;apple,4
Left;fig;apple/Left;apple;mango/Left;apple;peach/Left;peach;kiwi/,Left;kiwi;apple/Left;apple;mango/Left;mango;peach/Left;peach;fig,4
Left;apple;lime/Left;lime;mango/Left;lime;kiwi/Left;kiwi;fig/,Left;fig;lime/Left;lime;mango/Left;mango;kiwi/Left;kiwi;apple,4
Left;lime;apricot/Left;apricot;pear/Left;apricot;orange/Left;orange;cherry/,Left;cherry;apricot/Left;apricot;pear/Left;pear;orange/Left;orange;lime,4
Left;fig;kiwi/Left;kiwi;pear/Left;kiwi;lime/Left;lime;cherry/,Left;cherry;kiwi/Left;kiwi;pear/Left;pear;lime/Left;lime;fig,4
Left;plum;apricot/Left;apricot;lime/Left;apricot;orange/Left;orange;mango/,Left;plum;lime/Left;lime;apricot/Left;apricot;orange/Left;orange;mango,5
Left;fig;lime/Left;lime;mango/Left;lime;peach/Left;peach;apple/,Left;fig;mango/Left;mango;lime/Left;lime;peach/Left;peach;apple,5
Left;lime;plum/Left;plum;kiwi/Left;plum;apricot/Left;apricot;fig/,Left;lime;kiwi/Left;kiwi;plum/Left;plum;apricot/Left;apricot;fig,5
Left;peach;apricot/Left;apricot;lemon/Left;apricot;kiwi/Left;kiwi;fig/,Left;peach;lemon/Left;lemon;apricot/Left;apricot;kiwi/Left;kiwi;fig,5
Left;plum;mango/Left;mango;lemon/Left;mango;cherry/Left;cherry;apricot/,Left;plum;lemon/Left;lemon;mango/Left;mango;cherry/Left;cherry;apricot,5
Left;plum;lemon/Left;lemon;apricot/Left;lemon;kiwi/Left;kiwi;orange/,Left;plum;apricot/Left;apricot;lemon/Left;lemon;kiwi/Left;kiwi;orange,5
Left;kiwi;lemon/Left;lemon;orange/Left;lemon;mango/Left;mango;peach/,Left;kiwi;orange/Left;orange;lemon/Left;lemon;mango/Left;mango;peach,5
Left;lemon;orange/Left;orange;peach/Left;orange;mango/Left;mango;fig/,Left;lemon;peach/Left;peach;orange/Left;orange;mango/Left;mango;fig,5
Left;fig;kiwi/Left;kiwi;plum/Left;kiwi;lime/Left;lime;orange/,Left;fig;plum/Left;plum;kiwi/Left;kiwi;lime/Left;lime;orange,5
Left;peach;lemon/Left;lemon;mango/Left;lemon;apple/Left;apple;kiwi/,Left;peach;mango/Left;mango;lemon/Left;lemon;apple/Left;apple;kiwi,5
Left;plum;apricot/Left;apricot;kiwi/Left;apricot;lime/Left;lime;cherry/,Left;plum;kiwi/Left;kiwi;apricot/Left;apricot;lime/Left;lime;cherry,5
Left;kiwi;apricot/Left;apricot;fig/Left;apricot;mango/Left;mango;cherry/,Left;kiwi;fig/Left;fig;apricot/Left;apricot;mango/Left;mango;cherry,5
Left;lime;kiwi/Left;kiwi;plum/Left;kiwi;cherry/Left;cherry;orange/,Left;lime;plum/Left;plum;kiwi/Left;kiwi;cherry/Left;cherry;orange,5
Left;plum;apple/Left;apple;orange/Left;apple;mango/Left;mango;lemon/,Left;plum;orange/Left;orange;apple/Left;apple;mango/Left;mango;lemon,5
Left;pear;orange/Left;orange;cherry/Left;orange;fig/Left;fig;apricot/,Left;pear;cherry/Left;cherry;orange/Left;orange;fig/Left;fig;apricot,5
Left;cherry;plum/Left;plum;kiwi/Left;plum;lemon/Left;lemon;mango/,Left;cherry;kiwi/Left;kiwi;plum/Left;plum;lemon/Left;lemon;mango,5
Left;apple;lime/Left;lime;orange/Left;lime;kiwi/Left;kiwi;peach/,Left;apple;orange/Left;orange;lime/Left;lime;kiwi/Left;kiwi;peach,5
Left;pear;apple/Left;apple;kiwi/Left;apple;lime/Left;lime;mango/,Left;pear;kiwi/Left;kiwi;apple/Left;apple;lime/Left;lime;mango,5
Left;fig;plum/Left;plum;apricot/Left;plum;lemon/Left;lemon;orange/,Left;fig;apricot/Left;apricot;plum/Left;plum;lemon/Left;lemon;orange,5
Left;mango;kiwi/Left;kiwi;pear/Left;kiwi;cherry/Left;cherry;fig/,Left;mango;pear/Left;pear;kiwi/Left;kiwi;cherry/Left;cherry;fig,5
Left;apple;lime/Left;lime;mango/Left;lime;orange/Left;orange;fig/,Left;apple;mango/Left;mango;lime/Left;lime;orange/Left;orange;fig,5
Left;cherry;lemon/Left;lemon;plum/Left;lemon;kiwi/Left;kiwi;orange/,Left;cherry;plum/Left;plum;lemon/Left;lemon;kiwi/Left;kiwi;orange,5
Left;cherry;pear/Left;pear;mango/Left;pear;kiwi/Left;kiwi;apricot/,Left;cherry;mango/Left;mango;pear/Left;pear;kiwi/Left;kiwi;apricot,5
Left;orange;pear/Left;pear;cherry/Left;pear;apricot/Left;apricot;lemon/,Left;orange;cherry/Left;cherry;pear/Left;pear;apricot/Left;apricot;lemon,5
Left;mango;lime/Left;lime;fig/Left;lime;plum/Left;plum;kiwi/,Left;mango;fig/Left;fig;lime/Left;lime;plum/Left;plum;kiwi,5
Left;plum;apple/Left;apple;kiwi/Left;apple;fig/Left;fig;orange/,Left;plum;kiwi/Left;kiwi;apple/Left;apple;fig/Left;fig;orange,5
Left;orange;kiwi/Left;kiwi;apple/Left;kiwi;cherry/Left;cherry;lime/,Left;orange;apple/Left;apple;kiwi/Left;kiwi;cherry/Left;cherry;lime,5
Left;cherry;pear/Left;pear;lemon/Left;pear;kiwi/Left;kiwi;apple/,Left;cherry;lemon/Left;lemon;pear/Left;pear;kiwi/Left;kiwi;apple,5
Left;plum;apple/Left;apple;orange/Left;apple;kiwi/Left;kiwi;lemon/,Left;plum;orange/Left;orange;apple/Left;apple;kiwi/Left;kiwi;lemon,5
Left;lime;fig/Left;fig;cherry/Left;fig;apricot/Left;apricot;pear/,Left;lime;cherry/Left;cherry;fig/Left;fig;apricot/Left;apricot;pear,5
Left;orange;fig/Left;fig;apple/Left;fig;pear/Left;pear;lime/,Left;orange;apple/Left;apple;fig/Left;fig;pear/Left;pear;lime,5
Left;apple;lemon/Left;lemon;pear/Left;lemon;orange/Left;orange;mango/,Left;apple;pear/Left;pear;lemon/Left;lemon;orange/Left;orange;mango,5
Left;apricot;kiwi/Left;kiwi;fig/Left;kiwi;plum/Left;plum;lemon/,Left;apricot;fig/Left;fig;kiwi/Left;kiwi;plum/Left;plum;lemon,5
