id,sequence,domain,task,response_type,choices,response,truth,type_of_syllogism,response_time,ldt_rw,ldt_uw,rt_avg
5,15,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,6067,821.0,705.4,5310.57
5,9,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,6240,581.67,612.8,5310.57
5,18,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,2445,737.5,873.33,5310.57
5,17,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,False,True,match-valid,4523,676.5,624.0,5310.57
5,13,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,2073,725.0,721.17,5310.57
5,10,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,False,True,match-valid,5590,722.5,862.83,5310.57
5,16,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,True,False,mismatch-invalid,3684,783.5,726.5,5310.57
5,11,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,3139,684.5,773.67,5310.57
5,8,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,5429,790.17,643.67,5310.57
5,6,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,7858,599.4,678.2,5310.57
5,4,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,8946,873.17,706.6,5310.57
5,12,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,False,False,mismatch-invalid,7474,772.17,661.0,5310.57
5,14,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,4752,749.33,854.4,5310.57
6,6,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,False,False,match-invalid,15797,533.5,575.4,8151.2
6,18,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,False,False,match-invalid,12398,530.5,575.5,8151.2
6,5,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,10321,540.4,549.0,8151.2
6,7,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,False,False,match-invalid,14764,597.8,600.2,8151.2
6,17,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,3404,533.33,549.83,8151.2
6,14,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,2811,543.67,557.67,8151.2
6,16,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,1538,579.33,623.33,8151.2
6,4,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,1707,590.5,610.83,8151.2
6,13,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,4061,560.33,622.0,8151.2
6,15,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,8959,554.33,569.83,8151.2
6,10,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,14026,640.83,670.67,8151.2
6,12,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,False,True,mismatch-valid,12355,577.17,746.2,8151.2
6,8,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,False,True,mismatch-valid,2634,583.17,548.67,8151.2
6,3,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,False,False,mismatch-invalid,15518,653.33,650.83,8151.2
6,11,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,1975,530.33,581.17,8151.2
7,18,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,7272,595.6,581.83,9620.53
7,3,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,23966,657.67,628.8,9620.53
7,13,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,1769,727.0,661.83,9620.53
7,10,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,1985,634.5,647.33,9620.53
7,15,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,4213,585.83,692.5,9620.53
7,9,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,5793,599.67,567.0,9620.53
7,16,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,1418,767.5,814.0,9620.53
7,12,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,3070,611.0,717.33,9620.53
7,7,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,21566,630.83,585.33,9620.53
7,6,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,25696,677.17,625.83,9620.53
7,8,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,6812,723.67,640.0,9620.53
7,14,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,11673,568.83,574.75,9620.53
7,17,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,False,True,mismatch-valid,11582,635.17,592.0,9620.53
7,5,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,10861,757.67,687.33,9620.53
7,11,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,6632,631.0,745.0,9620.53
8,8,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,12071,502.0,629.5,15806.33
8,15,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,15551,691.33,821.4,15806.33
8,16,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,5907,623.33,571.83,15806.33
8,18,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,10847,513.33,628.67,15806.33
8,10,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,9459,503.17,723.83,15806.33
8,11,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,35467,452.6,691.0,15806.33
8,14,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,1524,886.5,727.2,15806.33
8,9,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,12422,549.5,837.5,15806.33
8,12,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,8597,620.67,568.0,15806.33
8,6,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,False,True,mismatch-valid,23285,640.0,656.0,15806.33
8,17,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,True,True,mismatch-valid,27838,631.67,591.5,15806.33
8,4,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,False,True,mismatch-valid,10835,745.83,739.5,15806.33
8,13,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,29437,679.0,674.33,15806.33
8,7,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,21822,677.67,615.67,15806.33
8,3,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,True,False,mismatch-invalid,12033,767.83,780.0,15806.33
9,14,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,21826,485.0,612.0,12861.87
9,7,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,5744,651.67,682.0,12861.87
9,16,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,4929,623.67,596.4,12861.87
9,17,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,2801,725.67,777.5,12861.87
9,5,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,7984,550.2,726.67,12861.87
9,11,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,9500,598.67,672.0,12861.87
9,10,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,7050,547.33,603.67,12861.87
9,18,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,1830,588.33,724.5,12861.87
9,8,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,8621,501.0,653.33,12861.87
9,15,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,18580,593.33,640.17,12861.87
9,13,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,21180,540.5,603.33,12861.87
9,9,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,42140,617.4,618.0,12861.87
9,3,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,7607,662.33,663.4,12861.87
9,4,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,24399,641.5,581.2,12861.87
9,12,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,True,False,mismatch-invalid,8737,573.17,777.67,12861.87
10,9,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,2121,521.17,556.33,4497.4
10,7,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,2236,519.5,570.83,4497.4
10,18,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,2354,623.5,569.67,4497.4
10,15,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,1412,523.5,511.0,4497.4
10,4,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,1334,606.83,709.67,4497.4
10,14,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,5454,671.83,610.5,4497.4
10,3,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,1907,654.17,587.33,4497.4
10,10,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,4126,574.83,538.17,4497.4
10,5,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,True,False,mismatch-invalid,8595,593.83,531.17,4497.4
10,17,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,3338,496.33,642.0,4497.4
10,13,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,True,True,mismatch-valid,4212,635.0,636.5,4497.4
10,6,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,7564,600.8,555.67,4497.4
10,8,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,16063,526.83,613.0,4497.4
10,16,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,4283,556.83,572.67,4497.4
10,12,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,True,False,mismatch-invalid,2462,537.33,642.67,4497.4
11,15,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,8446,600.67,685.67,8140.4
11,4,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,6496,608.6,579.83,8140.4
11,17,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,8883,633.4,588.67,8140.4
11,18,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,6615,633.67,542.33,8140.4
11,11,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,3600,584.67,631.0,8140.4
11,9,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,6974,556.17,634.5,8140.4
11,7,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,1819,697.17,751.2,8140.4
11,13,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,10147,627.83,624.5,8140.4
11,16,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,14818,511.5,496.17,8140.4
11,8,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,False,True,mismatch-valid,10835,563.5,583.33,8140.4
11,3,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,11738,598.83,684.5,8140.4
11,5,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,7089,606.0,607.8,8140.4
11,6,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,11426,609.0,616.17,8140.4
11,14,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,False,False,mismatch-invalid,10693,593.0,609.33,8140.4
11,12,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,True,False,mismatch-invalid,2527,558.4,630.0,8140.4
12,5,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,6949,446.0,524.5,5232.67
12,18,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,9342,583.33,583.25,5232.67
12,3,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,False,False,match-invalid,2806,576.83,620.17,5232.67
12,4,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,5363,503.83,507.83,5232.67
12,9,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,2517,559.5,611.2,5232.67
12,8,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,2312,502.0,569.6,5232.67
12,7,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,False,True,match-valid,5248,623.0,646.2,5232.67
12,17,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,False,True,match-valid,5738,630.5,554.83,5232.67
12,10,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,8081,501.17,563.6,5232.67
12,15,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,False,True,mismatch-valid,4195,572.0,562.75,5232.67
12,16,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,True,True,mismatch-valid,3170,538.2,649.8,5232.67
12,11,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,False,True,mismatch-valid,6308,514.8,608.5,5232.67
12,14,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,False,True,mismatch-valid,5738,629.4,588.0,5232.67
12,12,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,False,False,mismatch-invalid,1986,512.17,579.0,5232.67
12,6,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,8737,538.2,560.25,5232.67
13,9,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,2634,627.67,710.5,4710.53
13,6,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,5844,773.2,725.67,4710.53
13,17,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,3277,665.0,706.33,4710.53
13,18,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,2632,674.0,676.33,4710.53
13,10,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,2856,719.6,707.8,4710.53
13,3,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,3917,665.67,701.0,4710.53
13,16,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,False,True,match-valid,3618,766.0,853.75,4710.53
13,5,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,6335,763.0,684.2,4710.53
13,14,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,True,False,mismatch-invalid,3350,633.67,759.17,4710.53
13,13,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,False,True,mismatch-valid,1614,676.0,818.0,4710.53
13,8,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,True,True,mismatch-valid,3432,818.0,614.0,4710.53
13,15,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,2141,762.0,769.5,4710.53
13,7,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,9403,669.67,825.17,4710.53
13,12,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,2557,800.17,662.0,4710.53
13,4,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,17048,933.8,711.4,4710.53
14,16,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,11131,619.0,709.5,20423.0
14,5,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,9300,745.67,771.5,20423.0
14,12,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,13494,801.67,650.5,20423.0
