id,sequence,task,choices,response,response_type,domain,task_original,choices_original
FSJMQS,1,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
FSJMQS,2,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
FSJMQS,3,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
FSJMQS,4,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
FSJMQS,5,not;possible;xor;A;B,not;possible;and;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
FSJMQS,6,necessary;or;A;B,necessary;xor;A;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
FSJMQS,7,possible;or;A;B,possible;xor;A;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
FSJMQS,8,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
FSJMQS,9,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, or both","It is possible that: {A} or {B}, or both"
FSJMQS,10,xor;necessary;A;necessary;B,necessary;xor;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
FSJMQS,11,not;possible;xor;A;B,not;possible;or;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that: {A} or {B}, or both"
UQDPRJ,0,or;not;possible;A;not;possible;B,not;possible;or;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, or both","It is impossible that: {A} or {B}, or both"
UQDPRJ,1,not;possible;or;A;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that: {A} or {B}, but not both"
UQDPRJ,2,necessary;or;A;B,or;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","It is necessary that {A} OR it is necessary that {B}, or both"
UQDPRJ,3,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
UQDPRJ,4,necessary;or;A;B,necessary;xor;A;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
UQDPRJ,5,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
UQDPRJ,6,and;necessary;A;necessary;B,necessary;and;A;B,True,verify,modal,It is necessary that {A} AND it is necessary that {B},It is necessary that: {A} and {B}
UQDPRJ,7,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, but not both","It is possible that: {A} or {B}, but not both"
UQDPRJ,8,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
UQDPRJ,9,possible;or;A;B,possible;xor;A;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
UQDPRJ,10,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
UQDPRJ,11,necessary;xor;A;B,necessary;and;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both",it is necessary that: {A} and {B}
UQDPRJ,12,not;possible;xor;A;B,not;possible;and;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
UQDPRJ,13,or;necessary;A;necessary;B,necessary;or;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, or both","It is necessary that: {A} or {B}, or both"
UQDPRJ,14,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
UQDPRJ,15,not;possible;or;A;B,or;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that {A} OR it is impossible that {B}, or both"
UQDPRJ,16,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
UQDPRJ,17,xor;necessary;A;necessary;B,necessary;xor;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
UQDPRJ,18,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
WSRAFY,0,not;possible;or;A;B,or;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that {A} OR it is impossible that {B}, or both"
WSRAFY,1,or;necessary;A;necessary;B,necessary;or;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, or both","It is necessary that: {A} or {B}, or both"
WSRAFY,2,and;necessary;A;necessary;B,necessary;and;A;B,True,verify,modal,It is necessary that {A} AND it is necessary that {B},It is necessary that: {A} and {B}
WSRAFY,3,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
WSRAFY,4,or;not;possible;A;not;possible;B,not;possible;or;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, or both","It is impossible that: {A} or {B}, or both"
WSRAFY,5,not;possible;xor;A;B,not;possible;or;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that: {A} or {B}, or both"
WSRAFY,6,necessary;and;A;B,and;necessary;A;necessary;B,True,verify,modal,It is necessary that: {A} and {B},It is necessary that {A} AND it is necessary that {B}
WSRAFY,7,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
WSRAFY,8,not;possible;xor;A;B,xor;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that {A} OR it is impossible that {B}, but not both"
WSRAFY,9,necessary;or;A;B,necessary;xor;A;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
WSRAFY,10,not;possible;or;A;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that: {A} or {B}, but not both"
WSRAFY,11,xor;necessary;A;necessary;B,necessary;xor;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
WSRAFY,12,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
WSRAFY,13,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
WSRAFY,14,necessary;xor;A;B,necessary;or;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","it is necessary that: {A} or {B}, or both"
WSRAFY,15,and;not;possible;A;not;possible;B,not;possible;and;A;B,True,verify,modal,It is impossible that {A} AND it is impossible that {B},It is impossible that: {A} and {B}
WSRAFY,16,not;possible;and;A;B,and;not;possible;A;not;possible;B,True,verify,modal,It is impossible that: {A} and {B},It is impossible that {A} AND it is impossible that {B}
WSRAFY,17,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, or both","It is possible that: {A} or {B}, or both"
WSRAFY,18,not;possible;xor;A;B,not;possible;and;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
WSRAFY,19,necessary;xor;A;B,necessary;and;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both",it is necessary that: {A} and {B}
WSRAFY,20,necessary;or;A;B,or;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","It is necessary that {A} OR it is necessary that {B}, or both"
WSRAFY,21,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
WSRAFY,22,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
WSRAFY,23,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
WSRAFY,24,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, but not both","It is possible that: {A} or {B}, but not both"
WSRAFY,25,necessary;xor;A;B,xor;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","It is necessary that {A} OR it is necessary that {B}, but not"
WSRAFY,26,possible;or;A;B,possible;xor;A;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
NUMAAU,0,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
NUMAAU,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
NUMAAU,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
NUMAAU,0,necessary;or;A;B,necessary;xor;A;B,False,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
NUMAAU,1,necessary;xor;A;B,necessary;and;A;B,False,verify,modal,"It is necessary that: {A} or {B}, but not both",it is necessary that: {A} and {B}
NUMAAU,2,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
NUMAAU,3,xor;possible;A;possible;B,possible;xor;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, but not both","It is possible that: {A} or {B}, but not both"
NUMAAU,4,necessary;and;A;B,and;necessary;A;necessary;B,False,verify,modal,It is necessary that: {A} and {B},It is necessary that {A} AND it is necessary that {B}
NUMAAU,5,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
NUMAAU,6,possible;xor;A;B,possible;and;A;B,False,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
NUMAAU,7,possible;xor;A;B,possible;or;A;B,False,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
NUMAAU,8,and;necessary;A;necessary;B,necessary;and;A;B,False,verify,modal,It is necessary that {A} AND it is necessary that {B},It is necessary that: {A} and {B}
NUMAAU,9,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, or both","It is impossible that: {A} or {B}, or both"
NUMAAU,10,possible;xor;A;B,xor;possible;A;possible;B,False,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
NUMAAU,11,not;possible;or;A;B,not;possible;xor;A;B,False,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that: {A} or {B}, but not both"
NUMAAU,12,necessary;xor;A;B,xor;necessary;A;necessary;B,False,verify,modal,"It is necessary that: {A} or {B}, but not both","It is necessary that {A} OR it is necessary that {B}, but not"
NUMAAU,13,or;possible;A;possible;B,possible;or;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, or both","It is possible that: {A} or {B}, or both"
NUMAAU,14,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
NUMAAU,15,not;possible;xor;A;B,not;possible;or;A;B,False,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that: {A} or {B}, or both"
NUMAAU,16,not;possible;xor;A;B,xor;not;possible;A;not;possible;B,False,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that {A} OR it is impossible that {B}, but not both"
NUMAAU,17,not;possible;xor;A;B,not;possible;and;A;B,False,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
NUMAAU,18,xor;necessary;A;necessary;B,necessary;xor;A;B,False,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
NUMAAU,19,not;possible;or;A;B,or;not;possible;A;not;possible;B,False,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that {A} OR it is impossible that {B}, or both"
NUMAAU,20,and;not;possible;A;not;possible;B,not;possible;and;A;B,False,verify,modal,It is impossible that {A} AND it is impossible that {B},It is impossible that: {A} and {B}
NUMAAU,21,or;necessary;A;necessary;B,necessary;or;A;B,False,verify,modal,"It is necessary that {A} OR it is necessary that {B}, or both","It is necessary that: {A} or {B}, or both"
NUMAAU,22,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} and {B},It is impossible that {A} AND it is impossible that {B}
NUMAAU,23,necessary;xor;A;B,necessary;or;A;B,False,verify,modal,"It is necessary that: {A} or {B}, but not both","it is necessary that: {A} or {B}, or both"
NUMAAU,24,possible;or;A;B,possible;xor;A;B,False,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
NUMAAU,25,possible;and;A;B,and;possible;A;possible;B,False,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
NUMAAU,26,necessary;or;A;B,or;necessary;A;necessary;B,False,verify,modal,"It is necessary that: {A} or {B}, or both","It is necessary that {A} OR it is necessary that {B}, or both"
MBNDQH,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
MBNDQH,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
MBNDQH,0,necessary;and;A;B,and;necessary;A;necessary;B,True,verify,modal,It is necessary that: {A} and {B},It is necessary that {A} AND it is necessary that {B}
MBNDQH,1,possible;or;A;B,or;possible;A;possible;B,False,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
MBNDQH,2,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
MBNDQH,3,necessary;xor;A;B,necessary;or;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","it is necessary that: {A} or {B}, or both"
